"Origin","taxon","Group","Family","Published_Comments","HybridFormula"
"exotic, not naturalized","Cardamine occulta","Dicotyledons","Brassicaceae",,
"exotic, not naturalized","Carduus crispus","Dicotyledons","Asteraceae",,
"exotic, not naturalized","Carex comans","Monocotyledons","Cyperaceae",,
"exotic, not naturalized","Carex mesochorea","Monocotyledons","Cyperaceae",,
"exotic, not naturalized","Carex pumila","Monocotyledons","Cyperaceae",,
"exotic, not naturalized","Carpobrotus edulis","Dicotyledons","Aizoaceae",,
"exotic, not naturalized","Carum carvi","Dicotyledons","Apiaceae",,
"exotic, not naturalized","Celastrus orbiculatus","Dicotyledons","Celastraceae",,
"exotic, not naturalized","Centaurea × kleinii","Dicotyledons","Asteraceae",,
"exotic, not naturalized","Centaurea × psammogena","Dicotyledons","Asteraceae",,
"exotic, not naturalized","Centaurea calcitrapa","Dicotyledons","Asteraceae",,
"exotic, not naturalized","Centaurea iberica","Dicotyledons","Asteraceae",,
"exotic, not naturalized","Centaurea nigrescens","Dicotyledons","Asteraceae",,
"exotic, not naturalized","Centella erecta","Dicotyledons","Apiaceae",,
"exotic, not naturalized","Chaerophyllum temulum","Dicotyledons","Apiaceae",,
"exotic, not naturalized","Chamaemelum mixtum","Dicotyledons","Asteraceae",,
"exotic, not naturalized","Chamaesyce prostrata","Dicotyledons","Euphorbiaceae",,
"exotic, not naturalized","Chamaesyce serpens","Dicotyledons","Euphorbiaceae",,
"exotic, not naturalized","Chenopodium capitatum var. capitatum","Dicotyledons","Amaranthaceae",,
"exotic, not naturalized","Chenopodium incanum var. occidentale","Dicotyledons","Amaranthaceae",,
"exotic, not naturalized","Chenopodium incognitum","Dicotyledons","Amaranthaceae",,
"exotic, not naturalized","Chenopodium murale","Dicotyledons","Amaranthaceae",,
"exotic, not naturalized","Chenopodium polyspermum var. acutifolium","Dicotyledons","Amaranthaceae",,
"exotic, not naturalized","Chenopodium strictum var. glaucophyllum","Dicotyledons","Amaranthaceae",,
"exotic, not naturalized","Chenopodium subglabrum","Dicotyledons","Amaranthaceae",,
"exotic, not naturalized","Chenopodium vulvaria","Dicotyledons","Amaranthaceae",,
"exotic, not naturalized","Chloris radiata","Monocotyledons","Poaceae",,
"exotic, not naturalized","Cicer arietinum","Dicotyledons","Fabaceae",,
"exotic, not naturalized","Cirsium ochrocentrum var. ochrocentrum","Dicotyledons","Asteraceae",,
"exotic, not naturalized","Cladoraphis cyperoides","Monocotyledons","Poaceae",,
