Version,Family,Scientific name,Previously,As of the stated version,Date,,,,,,
v 2.1,Acoraceae,Acorus americanus,Under evaluation,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Acoraceae,Acorus calamus,Accepted (terminal),Misapplied to Acorus americanus,07-Jan-23,,,,,,
v 2.1,Amaranthaceae,Amaranthus blitum,Accepted (terminal),Excluded,07-Jan-23,,,,,,
v 2.1,Amaranthaceae,Amaranthus blitum,Under evaluation,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Amaryllidaceae,Narcissus × odorus,Under evaluation,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Apiaceae,Bupleurum rotundifolium,Excluded,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Asparagaceae,Hyacinthoides × massartiana,Under evaluation,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Asparagaceae,Hyacinthoides × variabilis,Accepted (terminal),Synonym of Hyacinthoides × massartiana Geerinck,07-Jan-23,,,,,,
v 2.1,Asteraceae,Acroptilon repens,Accepted (terminal),Synonym of Rhaponticum repens (L.) Hidalgo,07-Jan-23,,,,,,
v 2.1,Asteraceae,Carduus cinereus,Under evaluation,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Asteraceae,Centaurea stoebe,Accepted (terminal),Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Asteraceae,Centaurea stoebe ssp. micranthos,Accepted (terminal),Synonym of Centaurea stoebe L.,07-Jan-23,,,,,,
v 2.1,Asteraceae,Cosmos bipinnatus,Under evaluation,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Asteraceae,Erigeron chrysopsidis var. chrysopsidis × Erigeron davisii,Accepted (terminal),Synonym of Erigeron chrysopsidis A. Gray var. chrysopsidis × Erigeron disparipilus Cronquist,07-Jan-23,,,,,,
v 2.1,Asteraceae,Erigeron chrysopsidis var. chrysopsidis × Erigeron disparipilus,Under evaluation,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Asteraceae,Inula britannica,Under evaluation,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Asteraceae,Rhaponticum repens,Under evaluation,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Asteraceae,Senecio albescens,Under evaluation,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Asteraceae,Tagetes patula,Under evaluation,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Asteraceae,Verbesina encelioides,Excluded,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Asteraceae,Zinnia violacea,Under evaluation,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Boraginaceae,Lithodora diffusa,Under evaluation,Accepted (not terminal),07-Jan-23,,,,,,
v 2.1,Boraginaceae,Lithodora diffusa ssp. diffusa,Under evaluation,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Boraginaceae,Myosotis ramosissima,Under evaluation,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Campanulaceae,Lobelia pedunculata,Under evaluation,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Caryophyllaceae,Eremogone congesta var. subcongesta,Under evaluation,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Caryophyllaceae,Gypsophila elegans,Excluded,Accepted (terminal),07-Jan-23,,,,,,
