Version,Family,Scientific name,Previously,As of the stated version,Date
2.0,Amaranthaceae,Chenopodium incognitum,Under evaluation,Accepted (terminal),10/12/2020
2.0,Apiaceae,Glehnia littoralis,Accepted (terminal),Synonym of Glehnia leiocarpa,10/12/2020
2.0,Asparagaceae,Muilla transmontana,Under evaluation,Accepted (terminal),10/12/2020
2.0,Asteraceae,Antennaria microphylla,Misapplied to Antennaria pulvinata,Accepted (terminal),10/12/2020
2.0,Asteraceae,Antennaria rosea,Synonym of Antennaria pulvinata,Accepted (terminal),10/12/2020
2.0,Asteraceae,Antennaria rosea ssp. arida,Accepted (terminal),Synonym of Antennaria microphylla,10/12/2020
2.0,Asteraceae,Anthemis tinctoria,Accepted (terminal),Synonym of Cota tinctoria,10/12/2020
2.0,Asteraceae,Arnica chamissonis,Accepted (not terminal),Accepted (terminal),10/12/2020
2.0,Asteraceae,Arnica chamissonis ssp. foliosa,Accepted (terminal),Synonym of Arnica chamissonis,10/12/2020
2.0,Asteraceae,Arnica chamissonis ssp. incana,Accepted (terminal),Synonym of Arnica chamissonis,10/12/2020
2.0,Asteraceae,Arnica lanceolata,Synonym of Arnica lanceolata ssp. prisca,Accepted (not terminal),10/12/2020
2.0,Asteraceae,Arnica lanceolata ssp. prima,Synonym of Arnica lanceolata ssp. prisca,Accepted (terminal),10/12/2020
2.0,Asteraceae,Arnica lanceolata ssp. prisca,Accepted (terminal),Excluded,10/12/2020
2.0,Asteraceae,Artemisia arbuscula ssp. longicaulis,Accepted (terminal),Synonym of Artemisia arbuscula ssp. arbuscula,10/12/2020
2.0,Asteraceae,Artemisia campestris ssp. pacifica,Synonym of Artemisia campestris var. scouleriana,Accepted (terminal),10/12/2020
2.0,Asteraceae,Artemisia campestris var. scouleriana,Accepted (terminal),Synonym of Artemisia campestris ssp. pacifica,10/12/2020
2.0,Asteraceae,Artemisia ludoviciana ssp. estesii,Accepted (terminal),Synonym of Artemisia estesii,10/12/2020
2.0,Asteraceae,Baccharis douglasii,Accepted (terminal),Synonym of Baccharis glutinosa,10/12/2020
2.0,Asteraceae,Baccharis glutinosa,Misapplied to Baccharis douglasii,Accepted (terminal),10/12/2020
2.0,Asteraceae,Baccharis salicifolia,Under evaluation,Accepted (not terminal),10/12/2020
2.0,Asteraceae,Baccharis salicifolia ssp. salicifolia,Under evaluation,Accepted (terminal),10/12/2020
