Group,Family,Scientific_name,Name_Status,Accepted_Name,Taxonomic_Note,Origin,FloraStatus,FloraPage,ConceptNum,Acronym
Dicotyledons,Amaranthaceae,Chenopodium polyspermum,Accepted,Chenopodium polyspermum,Bare species,not naturalized,,,13757,CHEPOL
Dicotyledons,Amaranthaceae,Chenopodium polyspermum var. acutifolium,Accepted,Chenopodium polyspermum var. acutifolium,,not naturalized,,,1100,CHEPOLACU
Dicotyledons,Amaranthaceae,Chenopodium pratericola,Accepted,Chenopodium pratericola,,native,Fully described,"vol2, pg77",4824,CHEPRA
Dicotyledons,Amaranthaceae,Chenopodium pumilio,Synonym,Dysphania pumilio,,,,,1101,CHEPUM
Dicotyledons,Amaranthaceae,Chenopodium rubrum,Accepted,Chenopodium rubrum,,native,Fully described,"vol2, pg78",14595,CHERUB
Dicotyledons,Amaranthaceae,Chenopodium rubrum var. humile,Accepted,Chenopodium rubrum var. humile,,native,Fully described,"vol2, pg78",14585,CHERUBHUM
Dicotyledons,Amaranthaceae,Chenopodium rubrum var. rubrum,Accepted,Chenopodium rubrum var. rubrum,,native,Fully described,"vol2, pg78",1102,CHERUBRUB
Dicotyledons,Amaranthaceae,Chenopodium salinum,Synonym,Chenopodium glaucum,,,,,1071,CHESAL
Dicotyledons,Amaranthaceae,Chenopodium scoparium,Synonym,Bassia scoparia,,,,,2240,CHESCO
Dicotyledons,Amaranthaceae,Chenopodium simplex,Accepted,Chenopodium simplex,,native,Fully described,"vol2, pg78",1075,CHESIM
Dicotyledons,Amaranthaceae,Chenopodium strictum,Accepted,Chenopodium strictum,Bare species,not naturalized,,,9225,CHESTR
Dicotyledons,Amaranthaceae,Chenopodium strictum var. glaucophyllum,Accepted,Chenopodium strictum var. glaucophyllum,,not naturalized,,,1104,CHESTRGLA
Dicotyledons,Amaranthaceae,Chenopodium subglabrum,Accepted,Chenopodium subglabrum,,not naturalized,,,12987,CHESUB
Dicotyledons,Amaranthaceae,Chenopodium virgatum,Synonym,Chenopodium foliosum,,,,,1066,CHEVIR
Dicotyledons,Amaranthaceae,Chenopodium vulvaria,Accepted,Chenopodium vulvaria,,not naturalized,,,5050,CHEVUL
Dicotyledons,Amaranthaceae,Corispermum americanum,Accepted,Corispermum americanum,Bare species,native,,,9976,CORAME
Dicotyledons,Amaranthaceae,Corispermum americanum var. americanum,Accepted,Corispermum americanum var. americanum,,native,Fully described,"vol2, pg79",1209,CORAMEAME
Dicotyledons,Aizoaceae,Carpobrotus chilensis,Accepted,Carpobrotus chilensis,,naturalized,Fully described,"vol2, pg61",2629,CARCHI
Dicotyledons,Aizoaceae,Carpobrotus edulis,Accepted,Carpobrotus edulis,,not naturalized,,,14440,CAREDU
Dicotyledons,Aizoaceae,Delosperma cooperi,Accepted,Delosperma cooperi,,not naturalized,,,14205,DELCOO
Dicotyledons,Aizoaceae,Mesembryanthemum chilense,Synonym,Carpobrotus chilensis,,,,,2629,MESCHI
Dicotyledons,Aizoaceae,Sesuvium verrucosum,Accepted,Sesuvium verrucosum,,native,Fully described,"vol2, pg62",3795,SESVER
Dicotyledons,Amaranthaceae,Allenrolfea occidentalis,Accepted,Allenrolfea occidentalis,,native,Fully described,"vol2, pg64",135,ALLOCC
Dicotyledons,Amaranthaceae,Amaranthus albus,Accepted,Amaranthus albus,,naturalized,Fully described,"vol2, pg65",162,AMAALB
Dicotyledons,Amaranthaceae,Amaranthus blitoides,Accepted,Amaranthus blitoides,,uncertain,Fully described,"vol2, pg65",176,AMABLI
