Group,Family,Taxon,Taxonomic status,Accepted name for Taxon,Taxonomic note
Dicotyledons,Aizoaceae,Carpobrotus chilensis,Accepted,,
Dicotyledons,Aizoaceae,Carpobrotus edulis,Accepted,,
Dicotyledons,Aizoaceae,Delosperma cooperi,Accepted,,
Dicotyledons,Aizoaceae,Mesembryanthemum chilense,Synonym,Carpobrotus chilensis,
Dicotyledons,Aizoaceae,Sesuvium verrucosum,Accepted,,
Dicotyledons,Amaranthaceae,Allenrolfea occidentalis,Accepted,,
Dicotyledons,Amaranthaceae,Amaranthus albus,Accepted,,
Dicotyledons,Amaranthaceae,Amaranthus blitoides,Accepted,,
Dicotyledons,Amaranthaceae,Amaranthus californicus,Accepted,,
Dicotyledons,Amaranthaceae,Amaranthus deflexus,Accepted,,
Dicotyledons,Amaranthaceae,Amaranthus graecizans,Misapplied,Amaranthus blitoides,
Dicotyledons,Amaranthaceae,Amaranthus hybridus,Accepted,,
Dicotyledons,Amaranthaceae,Amaranthus hypochondriacus,Accepted,,
Dicotyledons,Amaranthaceae,Amaranthus powellii,Accepted,,
Dicotyledons,Amaranthaceae,Amaranthus retroflexus,Accepted,,
Dicotyledons,Amaranthaceae,Amaranthus viridus,Accepted,,
Dicotyledons,Amaranthaceae,Atriplex argentea,Accepted,,
Dicotyledons,Amaranthaceae,Atriplex argentea var. hillmanii,Accepted,,
Dicotyledons,Amaranthaceae,Atriplex canescens,Accepted,,
Dicotyledons,Amaranthaceae,Atriplex canescens ssp. canescens,Synonym,Atriplex canescens var. canescens,
Dicotyledons,Amaranthaceae,Atriplex canescens var. canescens,Accepted,,
Dicotyledons,Amaranthaceae,Atriplex confertifolia,Accepted,,
Dicotyledons,Amaranthaceae,Atriplex dioica,Accepted,,
Dicotyledons,Amaranthaceae,Atriplex gardneri,Accepted,,
Dicotyledons,Amaranthaceae,Atriplex gardneri var. falcata,Accepted,,
Dicotyledons,Amaranthaceae,Atriplex gmelinii,Accepted,,
Dicotyledons,Amaranthaceae,Atriplex gmelinii var. gmelinii,Accepted,,
Dicotyledons,Amaranthaceae,Atriplex hastata,Synonym,Atriplex prostrata,
Dicotyledons,Amaranthaceae,Atriplex heterosperma,Synonym,Atriplex micrantha,
Dicotyledons,Amaranthaceae,Atriplex hortensis,Accepted,,
Dicotyledons,Amaranthaceae,Atriplex hymenelytra,Accepted,,
Dicotyledons,Amaranthaceae,Atriplex micrantha,Accepted,,
Dicotyledons,Amaranthaceae,Atriplex nuttallii var. falcata,Synonym,Atriplex gardneri var. falcata,
Dicotyledons,Amaranthaceae,Atriplex patula,Accepted,,
Dicotyledons,Amaranthaceae,Atriplex patula var. hastata,Synonym,Atriplex prostrata,
Dicotyledons,Amaranthaceae,Atriplex patula var. obtusa,Synonym,Atriplex gmelinii var. gmelinii,
Dicotyledons,Amaranthaceae,Atriplex patula var. patula,Synonym,Atriplex patula,
Dicotyledons,Amaranthaceae,Atriplex powellii,Accepted,,
Dicotyledons,Amaranthaceae,Atriplex powellii var. powellii,Synonym,Atriplex powellii,
Dicotyledons,Amaranthaceae,Atriplex prostrata,Accepted,,
Dicotyledons,Amaranthaceae,Atriplex pusilla,Accepted,,
Dicotyledons,Amaranthaceae,Atriplex rosea,Accepted,,
Dicotyledons,Amaranthaceae,Atriplex truncata,Accepted,,
Dicotyledons,Amaranthaceae,Bassia hyssopifolia,Accepted,,
Dicotyledons,Amaranthaceae,Bassia scoparia,Accepted,,
Dicotyledons,Amaranthaceae,Beta vulgaris,Accepted,,
Dicotyledons,Amaranthaceae,Beta vulgaris ssp. vulgaris,Synonym,Beta vulgaris,
Dicotyledons,Amaranthaceae,Blitum nuttallianum,Accepted,,
Dicotyledons,Amaranthaceae,Blitum spathulatum,Accepted,,
Dicotyledons,Amaranthaceae,Chenopodium album,Synonym,Chenopodium berlandieri var. zschackei,in part
Dicotyledons,Amaranthaceae,Chenopodium album,Accepted,,sensu stricto
Dicotyledons,Amaranthaceae,Chenopodium album var. album,Synonym,Chenopodium album,
Dicotyledons,Amaranthaceae,Chenopodium ambrosioides,Synonym,Dysphania ambrosioides,
Dicotyledons,Amaranthaceae,Chenopodium ambrosioides var. ambrosioides,Synonym,Dysphania ambrosioides,
Dicotyledons,Amaranthaceae,Chenopodium ambrosioides var. anthelminticum,Synonym,Dysphania ambrosioides,
Dicotyledons,Amaranthaceae,Chenopodium atrovirens,Accepted,,
Dicotyledons,Amaranthaceae,Chenopodium berlandieri,Accepted,,
Dicotyledons,Amaranthaceae,Chenopodium berlandieri var. zschackei,Accepted,,
Dicotyledons,Amaranthaceae,Chenopodium botrys,Synonym,Dysphania botrys,
Dicotyledons,Amaranthaceae,Chenopodium capitatum,Accepted,,
Dicotyledons,Amaranthaceae,Chenopodium capitatum var. capitatum,Accepted,,
Dicotyledons,Amaranthaceae,Chenopodium capitatum var. parvicapitatum,Accepted,,
Dicotyledons,Amaranthaceae,Chenopodium chenopodioides,Accepted,,
Dicotyledons,Amaranthaceae,Chenopodium desiccatum,Accepted,,
Dicotyledons,Amaranthaceae,Chenopodium foliosum,Accepted,,
Dicotyledons,Amaranthaceae,Chenopodium fremontii,Accepted,,
Dicotyledons,Amaranthaceae,Chenopodium fremontii var. atrovirens,Synonym,Chenopodium atrovirens,
Dicotyledons,Amaranthaceae,Chenopodium fremontii var. fremontii,Synonym,Chenopodium fremontii,
Dicotyledons,Amaranthaceae,Chenopodium glaucum,Accepted,,
Dicotyledons,Amaranthaceae,Chenopodium glaucum var. salinum,Synonym,Chenopodium glaucum,
Dicotyledons,Amaranthaceae,Chenopodium humile,Synonym,Chenopodium rubrum var. humile,
Dicotyledons,Amaranthaceae,Chenopodium hybridum,Misapplied,Chenopodium simplex,
Dicotyledons,Amaranthaceae,Chenopodium incanum,Accepted,,
Dicotyledons,Amaranthaceae,Chenopodium incanum var. occidentale,Accepted,,
Dicotyledons,Amaranthaceae,Chenopodium incognitum,Accepted,,
Dicotyledons,Amaranthaceae,Chenopodium leptophyllum,Accepted,,
Dicotyledons,Amaranthaceae,Chenopodium leptophyllum var. leptophyllum,Synonym,Chenopodium leptophyllum,
Dicotyledons,Amaranthaceae,Chenopodium leptophyllum var. oblongifolium,Synonym,Chenopodium desiccatum,
Dicotyledons,Amaranthaceae,Chenopodium leptophyllum var. subglabrum,Misapplied,Chenopodium subglabrum,
