"FloraStatus","Was","Now","Group","Family","Acronym","scientific_name","FloraOfOregonPage","WebConcept"
"Fully described","Accepted","split into E. philadelphicus vars. philadelphicus and glaber","Dicotyledons","Asteraceae","ERIPHI","Erigeron philadelphicus","Volume 2, Page 260",14963
"Fully described","Accepted (Terminal species)","Accepted (Bare species), existing other taxa subsumed as B. sitchensis varieties","Monocotyledons","Poaceae","BROSIT","Bromus sitchensis","Volume 1, Page 373",14674
"Fully described","Accepted (Bare species)","Accepted (Terminal species), most F. rubra subtaxa subsumed","Monocotyledons","Poaceae","FESRUB","Festuca rubra","Volume 1, Page 412",1809
"Fully described","Accepted (Bare species)","Accepted (Terminal species)","Monocotyledons","Poaceae","SETPUM","Setaria pumila","Volume 1, Page 478",4940
"Fully described","Accepted (Terminal species)","Accepted (Bare species), var. aleuticum in Oregon","Pteridophytes","Pteridaceae","ADIALE","Adiantum aleuticum","Volume 1, Page 97",14712
"Fully described","Accepted","Synonym, in part, of Cryptantha intermedia var. intermedia, Cryptantha intermedia var. hendersonii","Dicotyledons","Boraginaceae","CRYINTHEN7","Cryptantha intermedia var. hendersonii","Volume 2, Page 398",99999
"Fully described","Accepted","True Trillium kurabayashii or misapplied to Trillium chloropetalum","Monocotyledons","Melanthiaceae","TRIKUR7","Trillium kurabayashii","Volume 1, Page 315",99999
"Fully described","Accepted","True Calamagrostis tacomensis, or newly published Calamagrostis utsutsuensis","Monocotyledons","Poaceae","CALTAC7","Calamagrostis tacomensis","Volume 1, Page 378",99999
"Fully described","Accepted","Excluded","Dicotyledons","Asteraceae","ERIAUR","Erigeron aureus","Volume 2, Page 252",14616
"Fully described","Accepted","Excluded","Monocotyledons","Amaryllidaceae","ALLOBTOBT","Allium obtusum var. obtusum","Volume 1, Page 141",12867
"Fully described","Accepted","Excluded","Monocotyledons","Juncaceae","JUNRAN","Juncus ranarius","Volume 1, Page 283",14067
"Fully described","Accepted","Synonym of Lomatium farinosum","Dicotyledons","Apiaceae","LOMFARHAM","Lomatium farinosum var. hambleniae","Volume 2, Page 115",2437
"Fully described","Accepted","Synonym of Rhaponticum repens","Dicotyledons","Asteraceae","ACRREP","Acroptilon repens","Volume 2, Page 164",35
"Fully described","Accepted","Synonym of Centaurea stoebe","Dicotyledons","Asteraceae","CENSTOMIC","Centaurea stoebe ssp. micranthos","Volume 2, Page 216",9779
"Fully described","Accepted","Synonym of Doellingeria breweri","Dicotyledons","Asteraceae","EUCBRE","Eucephalus breweri","Volume 2, Page 265",4672
"Fully described","Accepted","Synonym of Doellingeria elegans","Dicotyledons","Asteraceae","EUCELE","Eucephalus elegans","Volume 2, Page 265",497
"Fully described","Accepted","Synonym of Doellingeria glabrata","Dicotyledons","Asteraceae","EUCGLA","Eucephalus glabratus","Volume 2, Page 266",13707
"Fully described","Accepted","Synonym of Doellingeria gormanii","Dicotyledons","Asteraceae","EUCGOR","Eucephalus gormanii","Volume 2, Page 266",457
"Fully described","Accepted","Synonym of Doellingeria ledophylla","Dicotyledons","Asteraceae","EUCLED","Eucephalus ledophyllus","Volume 2, Page 266",14683
"Fully described","Accepted","Synonym of Doellingeria ledophylla var. covillei","Dicotyledons","Asteraceae","EUCLEDCOV","Eucephalus ledophyllus var. covillei","Volume 2, Page 267",14684
