Group,Family,taxon,Origin
Dicotyledons,Aizoaceae,Carpobrotus edulis,"exotic, not naturalized"
Dicotyledons,Aizoaceae,Delosperma cooperi,"exotic, not naturalized"
Dicotyledons,Amaranthaceae,Chenopodium incognitum,"exotic, not naturalized"
Dicotyledons,Amaranthaceae,Salsola kali ssp. pontica,"exotic, not naturalized"
Dicotyledons,Apiaceae,Bupleurum odontites,"exotic, not naturalized"
Dicotyledons,Apiaceae,Carum carvi,"exotic, not naturalized"
Dicotyledons,Apiaceae,Centella erecta,"exotic, not naturalized"
Dicotyledons,Apiaceae,Cnidium monnieri,"exotic, not naturalized"
Dicotyledons,Apiaceae,Cyclospermum leptophyllum,"exotic, not naturalized"
Dicotyledons,Apiaceae,Torilis henryi,"exotic, not naturalized"
Dicotyledons,Apocynaceae,Cycladenia humilis var. humilis,"exotic, not naturalized"
Dicotyledons,Aristolochiaceae,Aristolochia macrophylla,"exotic, not naturalized"
Dicotyledons,Asteraceae,Acanthospermum hispidum,"exotic, not naturalized"
Dicotyledons,Asteraceae,Achillea filipendulina,"exotic, not naturalized"
Dicotyledons,Asteraceae,Achillea ptarmica,"exotic, not naturalized"
Dicotyledons,Asteraceae,Arctotheca calendula,"exotic, not naturalized"
Dicotyledons,Asteraceae,Baccharis salicifolia ssp. salicifolia,"exotic, not naturalized"
Dicotyledons,Asteraceae,Balsamorhiza lanata,"exotic?, not naturalized"
Dicotyledons,Asteraceae,Centaurea × psammogena,"exotic, not naturalized"
Dicotyledons,Asteraceae,Erigeron karvinskianus,"exotic, not naturalized"
Dicotyledons,Asteraceae,Hieracium sabaudum,"exotic, not naturalized"
Dicotyledons,Asteraceae,Jacobaea maritima,"exotic, not naturalized"
Dicotyledons,Asteraceae,Lapsanastrum apogonoides,"exotic, not naturalized"
Dicotyledons,Asteraceae,Leontodon autumnalis var. pratensis,"exotic, not naturalized"
Dicotyledons,Asteraceae,Oncosiphon suffruticosum,"exotic, not naturalized"
Dicotyledons,Asteraceae,Rudbeckia hirta var. pulcherrima,"exotic, not naturalized"
Dicotyledons,Asteraceae,Thelesperma megapotamicum,"exotic, not naturalized"
Dicotyledons,Betulaceae,Betula × utahensis,"exotic, not naturalized"
Dicotyledons,Boraginaceae,Hackelia mundula,"exotic, not naturalized"
Dicotyledons,Brassicaceae,Armoracia rusticana,"exotic, not naturalized"
Dicotyledons,Brassicaceae,Cardamine flexuosa,"exotic, not naturalized"
Dicotyledons,Brassicaceae,Lepidium pinnatifidum,"exotic, not naturalized"
Dicotyledons,Brassicaceae,Matthiola incana,"exotic, not naturalized"
Dicotyledons,Brassicaceae,Neslia paniculata,"exotic, not naturalized"
Dicotyledons,Brassicaceae,Rapistrum rugosum,"exotic, not naturalized"
Dicotyledons,Brassicaceae,Sisymbrium orientale,"exotic, not naturalized"
Dicotyledons,Cactaceae,Opuntia humifusa,"exotic, not naturalized"
Dicotyledons,Calycanthaceae,Calycanthus occidentalis,"exotic?, not naturalized"
Dicotyledons,Caprifoliaceae,Lonicera japonica,"exotic, not naturalized"
Dicotyledons,Caprifoliaceae,Lonicera maackii,"exotic, not naturalized"
Dicotyledons,Caprifoliaceae,Lonicera subspicata var. denudata,"exotic, not naturalized"
Dicotyledons,Caryophyllaceae,Myosoton aquaticum,"exotic, not naturalized"
Dicotyledons,Caryophyllaceae,Silene bolanderi,native
Dicotyledons,Celastraceae,Euonymus fortunei,"exotic, not naturalized"
Dicotyledons,Cornaceae,Cornus obliqua,"exotic, not naturalized"
Dicotyledons,Crassulaceae,Sedum acre,"exotic, not naturalized"
Dicotyledons,Crassulaceae,Sedum thartii,"exotic, not naturalized"
Dicotyledons,Cucurbitaceae,Cucumis anguria,"exotic, not naturalized"
Dicotyledons,Cucurbitaceae,Echinocystis lobata,"exotic, not naturalized"
Dicotyledons,Cucurbitaceae,Marah fabacea,"exotic?, not naturalized"
Dicotyledons,Cucurbitaceae,Marah watsonii,"exotic?, not naturalized"
Dicotyledons,Elaeagnaceae,Elaeagnus commutata,"exotic, not naturalized"
Dicotyledons,Ericaceae,Arctostaphylos mewukka ssp. mewukka,"exotic, not naturalized"
Dicotyledons,Ericaceae,Phyllodoce breweri,"exotic, not naturalized"
Dicotyledons,Escalloniaceae,Escallonia rubra,"exotic, not naturalized"
Dicotyledons,Fabaceae,Amorpha californica,"exotic?, not naturalized"
Dicotyledons,Fabaceae,Lathyrus sativus,"exotic, not naturalized"
Dicotyledons,Fabaceae,Lathyrus vernus,"exotic, not naturalized"
Dicotyledons,Fabaceae,Ononis spinosa ssp. maritima,"exotic, not naturalized"
Dicotyledons,Fabaceae,Vicia faba,"exotic, not naturalized"
Dicotyledons,Fagaceae,Quercus palustris,"exotic, not naturalized"
Dicotyledons,Frankeniaceae,Frankenia pulverulenta,"exotic, not naturalized"
Gymnosperms,Cupressaceae,Hesperocyparis macrocarpa,"exotic, not naturalized"
Gymnosperms,Cupressaceae,Hesperocyparis sargentii,"exotic, not naturalized"
Gymnosperms,Cupressaceae,Juniperus chinensis,"exotic, not naturalized"
Gymnosperms,Cupressaceae,Taxodium distichum var. distichum,"exotic, not naturalized"
Gymnosperms,Pinaceae,Pinus monophylla,"exotic, not naturalized"
Gymnosperms,Pinaceae,Pinus muricata,native?
Gymnosperms,Pinaceae,Pinus pinaster,"exotic, not naturalized"
Monocotyledons,Alismataceae,Sagittaria graminea ssp. graminea,"exotic, not naturalized"
Monocotyledons,Alismataceae,Sagittaria platyphylla,"exotic, not naturalized"
Monocotyledons,Amaryllidaceae,Allium dictuon,native
Monocotyledons,Amaryllidaceae,Allium membranaceum,"exotic, not naturalized"
Monocotyledons,Amaryllidaceae,Leucojum aestivum,"exotic, not naturalized"
Monocotyledons,Amaryllidaceae,Narcissus × incomparabilis,"exotic, not naturalized"
Monocotyledons,Amaryllidaceae,Narcissus tazetta,"exotic, not naturalized"
Monocotyledons,Asparagaceae,Brodiaea minor,"exotic?, not naturalized"
Monocotyledons,Asparagaceae,Brodiaea nana,native?
Monocotyledons,Asparagaceae,Dichelostemma × venustum,native
Monocotyledons,Asparagaceae,Dichelostemma volubile,"exotic?, not naturalized"
Monocotyledons,Asparagaceae,Hyacinthoides × variabilis,"exotic, not naturalized"
Monocotyledons,Asparagaceae,Muilla transmontana,"exotic?, not naturalized"
Monocotyledons,Asparagaceae,Ornithogalum nutans,"exotic, not naturalized"
Monocotyledons,Asparagaceae,Triteleia peduncularis,native
Monocotyledons,Butomaceae,Butomus umbellatus,"exotic, not naturalized"
Monocotyledons,Commelinaceae,Murdannia keisak,"exotic, not naturalized"
Monocotyledons,Commelinaceae,Tradescantia fluminensis,"exotic, not naturalized"
Monocotyledons,Cyperaceae,Carex agastachys,"exotic, naturalized"
Monocotyledons,Cyperaceae,Carex comans,"exotic, not naturalized"
Monocotyledons,Cyperaceae,Carex mesochorea,"exotic, not naturalized"
Monocotyledons,Cyperaceae,Carex pumila,"exotic, not naturalized"
Monocotyledons,Cyperaceae,Cyperus aggregatus,"exotic, not naturalized"
Monocotyledons,Cyperaceae,Cyperus fuscus,"exotic, not naturalized"
Monocotyledons,Cyperaceae,Cyperus odoratus,"exotic, not naturalized"
Monocotyledons,Cyperaceae,Schoenoplectus × kuekenthalianus,"exotic, not naturalized"
Monocotyledons,Cyperaceae,Schoenoplectus saximontanus,"exotic, not naturalized"
Monocotyledons,Hydrocharitaceae,Elodea bifoliata,native
Monocotyledons,Hydrocharitaceae,Najas guadalupensis var. guadalupensis,native
Monocotyledons,Iridaceae,Gladiolus communis,"exotic, not naturalized"
Monocotyledons,Iridaceae,Iris tenuissima,"exotic, not naturalized"
Monocotyledons,Iridaceae,Romulea rosea var. australis,"exotic, not naturalized"
Monocotyledons,Juncaginaceae,Triglochin palustris,"exotic, not naturalized"
Monocotyledons,Liliaceae,Calochortus amabilis,native
Monocotyledons,Liliaceae,Calochortus luteus,native
Monocotyledons,Liliaceae,Calochortus persistens,native
Monocotyledons,Liliaceae,Erythronium multiscapideum,native
Monocotyledons,Liliaceae,Fritillaria eastwoodiae,"exotic?, not naturalized"
Monocotyledons,Liliaceae,Fritillaria purdyi,"exotic?, not naturalized"
Monocotyledons,Liliaceae,Lilium washingtonianum ssp. washingtonianum,"exotic?, not naturalized"
Monocotyledons,Liliaceae,Prosartes parvifolia,native
Monocotyledons,Liliaceae,Tulipa sylvestris,"exotic, not naturalized"
Monocotyledons,Melanthiaceae,Trillium cuneatum,"exotic, not naturalized"
Monocotyledons,Melanthiaceae,Veratrum fimbriatum,"exotic, not naturalized"
Monocotyledons,Poaceae,× Aegilotriticum sancti-andreae,"exotic, not naturalized"
Monocotyledons,Poaceae,× Agropogon lutosus,"exotic, not naturalized"
Monocotyledons,Poaceae,× Leydeum piperi,native
Monocotyledons,Poaceae,× Schedololium holmbergii,"exotic, not naturalized"
Monocotyledons,Poaceae,Agropyron fragile,"exotic, not naturalized"
Monocotyledons,Poaceae,Agrostis × murbeckii,"exotic, not naturalized"
Monocotyledons,Poaceae,Amelichloa caudata,"exotic, not naturalized"
Monocotyledons,Poaceae,Arthraxon hispidus,"exotic, not naturalized"
Monocotyledons,Poaceae,Brachypodium distachyon,"exotic, not naturalized"
Monocotyledons,Poaceae,Brachypodium pinnatum,"exotic, not naturalized"
Monocotyledons,Poaceae,Bromus madritensis,"exotic, not naturalized"
Monocotyledons,Poaceae,Bromus sitchensis var. sitchensis,native
Monocotyledons,Poaceae,Calamagrostis utsutsuensis,native
Monocotyledons,Poaceae,Chloris radiata,"exotic, not naturalized"
Monocotyledons,Poaceae,Cladoraphis cyperoides,"exotic, not naturalized"
Monocotyledons,Poaceae,Cynodon × magennisii,"exotic, not naturalized"
Monocotyledons,Poaceae,Echinochloa colona,"exotic, not naturalized"
Monocotyledons,Poaceae,Echinochloa crus-pavonis var. crus-pavonis,"exotic, not naturalized"
Monocotyledons,Poaceae,Eleusine tristachya,"exotic, not naturalized"
Monocotyledons,Poaceae,Elymus ciliaris,"exotic, not naturalized"
Monocotyledons,Poaceae,Elymus tsukushiensis,"exotic, not naturalized"
Monocotyledons,Poaceae,Eragrostis pectinacea var. miserrima,"exotic, not naturalized"
Monocotyledons,Poaceae,Festuca lemanii,"exotic, naturalized"
Monocotyledons,Poaceae,Leymus × multiflorus,"exotic?, not naturalized"
Monocotyledons,Poaceae,Leymus racemosus,"exotic, not naturalized"
Monocotyledons,Poaceae,Lolium rigidum,"exotic, not naturalized"
Monocotyledons,Poaceae,Pennisetum villosum,"exotic, not naturalized"
Monocotyledons,Poaceae,Phalaris caroliniana,"exotic, not naturalized"
Monocotyledons,Poaceae,Phalaris minor,"exotic, not naturalized"
Monocotyledons,Poaceae,Phleum arenarium,"exotic, not naturalized"
Monocotyledons,Poaceae,Phleum paniculatum,"exotic, not naturalized"
Monocotyledons,Poaceae,Phleum subulatum,"exotic, not naturalized"
Monocotyledons,Poaceae,Poa iconia var. iconia,"exotic, naturalized"
Monocotyledons,Poaceae,Poa mansfieldii,native
Monocotyledons,Poaceae,Poa wallowensis,native
Monocotyledons,Poaceae,Polypogon australis,"exotic, not naturalized"
Monocotyledons,Poaceae,Polypogon fugax,"exotic, not naturalized"
Monocotyledons,Poaceae,Puccinellia simplex,"exotic, not naturalized"
Monocotyledons,Poaceae,Secale strictum,"exotic, not naturalized"
Monocotyledons,Poaceae,Setaria faberi,"exotic, not naturalized"
Monocotyledons,Poaceae,Setaria viridis var. major,"exotic, not naturalized"
Monocotyledons,Poaceae,Spartina densiflora,"exotic, not naturalized"
Monocotyledons,Poaceae,Thinopyrum junceum,"exotic, not naturalized"
Monocotyledons,Poaceae,Thinopyrum pycnanthum,"exotic, not naturalized"
Monocotyledons,Poaceae,Tripidium ravennae,"exotic, not naturalized"
Monocotyledons,Poaceae,Urochloa mutica,"exotic, not naturalized"
Monocotyledons,Pontederiaceae,Eichhornia crassipes,"exotic, not naturalized"
Monocotyledons,Xanthorrhoeaceae,Hemerocallis fulva,"exotic, not naturalized"
Monocotyledons,Xanthorrhoeaceae,Hemerocallis minor,"exotic, not naturalized"
Monocotyledons,Xanthorrhoeaceae,Kniphofia uvaria,"exotic, not naturalized"
Monocotyledons,Xanthorrhoeaceae,Phormium tenax,"exotic, not naturalized"
Pteridophytes,Aspleniaceae,Asplenium bulbiferum,"exotic, not naturalized"
Pteridophytes,Cyatheaceae,Sphaeropteris cooperi,"exotic, not naturalized"
