"Group","Family","Scientific_name","Name_Status","Accepted_Name","FloraStatus","FloraPage","ConceptNum","Acronym","Scientific_name_auths"
"Dicotyledons","Aizoaceae","Sesuvium verrucosum","Accepted","Sesuvium verrucosum","Fully described","vol2, pg62",3795,"SESVER","Sesuvium verrucosum Raf. "
"Dicotyledons","Amaranthaceae","Allenrolfea occidentalis","Accepted","Allenrolfea occidentalis","Fully described","vol2, pg64",135,"ALLOCC","Allenrolfea occidentalis (S. Watson) Kuntze "
"Dicotyledons","Amaranthaceae","Amaranthus californicus","Accepted","Amaranthus californicus","Fully described","vol2, pg65",169,"AMACAL","Amaranthus californicus (Moq.) S. Watson "
"Dicotyledons","Amaranthaceae","Amaranthus powellii","Accepted","Amaranthus powellii","Fully described","vol2, pg66",181,"AMAPOW","Amaranthus powellii S. Watson "
"Dicotyledons","Amaranthaceae","Amaranthus retroflexus","Accepted","Amaranthus retroflexus","Fully described","vol2, pg66",183,"AMARET","Amaranthus retroflexus L. "
"Dicotyledons","Amaranthaceae","Atriplex argentea","Accepted","Atriplex argentea",,,9895,"ATRARG","Atriplex argentea Nutt. "
"Dicotyledons","Amaranthaceae","Atriplex argentea var. hillmanii","Accepted","Atriplex argentea var. hillmanii","Fully described","vol2, pg68",541,"ATRARGHIL","Atriplex argentea Nutt. var. hillmanii M.E. Jones "
"Dicotyledons","Amaranthaceae","Atriplex canescens","Accepted","Atriplex canescens",,,9896,"ATRCAN","Atriplex canescens (Pursh) Nutt. "
"Dicotyledons","Amaranthaceae","Atriplex canescens ssp. canescens","Synonym","Atriplex canescens var. canescens",,,543,"ATRCANCAN2","Atriplex canescens (Pursh) Nutt. ssp. canescens "
"Dicotyledons","Amaranthaceae","Atriplex canescens var. canescens","Accepted","Atriplex canescens var. canescens","Fully described","vol2, pg68",543,"ATRCANCAN","Atriplex canescens (Pursh) Nutt. var. canescens "
"Dicotyledons","Amaranthaceae","Atriplex confertifolia","Accepted","Atriplex confertifolia","Fully described","vol2, pg68",544,"ATRCON","Atriplex confertifolia (Torr. & Frém.) S. Watson "
"Dicotyledons","Amaranthaceae","Atriplex dioica","Accepted","Atriplex dioica","Fully described","vol2, pg69",4857,"ATRDIO","Atriplex dioica Raf. "
"Dicotyledons","Amaranthaceae","Atriplex gardneri","Accepted","Atriplex gardneri",,,9916,"ATRGAR","Atriplex gardneri (Moq.) D. Dietr. "
"Dicotyledons","Amaranthaceae","Atriplex gardneri var. falcata","Accepted","Atriplex gardneri var. falcata","Fully described","vol2, pg69",549,"ATRGARFAL","Atriplex gardneri (Moq.) D. Dietr. var. falcata (M.E. Jones) S.L. Welsh "
"Dicotyledons","Amaranthaceae","Atriplex gmelinii","Accepted","Atriplex gmelinii",,,9893,"ATRGME","Atriplex gmelinii C.A Meyer "
