"Taxon","Origin","Field Photos","Group","Family","Also_known_as","Ecoregions"
"Eriocoma webberi","native",0,"Monocotyledons","Poaceae","Achnatherum webberi","Basin and Range, Blue and Wallowa Mountains, Owyhee Uplands"
"Eriogonum brachyanthum","native",1,"Dicotyledons","Polygonaceae",,"Basin and Range"
"Eriogonum cernuum","native",0,"Dicotyledons","Polygonaceae","Eriogonum cernuum var. cernuum","Basin and Range"
"Eriogonum collinum","native",0,"Dicotyledons","Polygonaceae",,"Basin and Range"
"Eriogonum compositum var. leianthum","native",4,"Dicotyledons","Polygonaceae","Eriogonum tolmieanum","Blue and Wallowa Mountains, Columbia Basin, Owyhee Uplands"
"Eriogonum douglasii var. meridionale","native",1,"Dicotyledons","Polygonaceae",,"Eastern Cascade Slopes and Foothills, Siskiyou Mountains"
"Eriogonum elatum var. villosum","native",0,"Dicotyledons","Polygonaceae",,"Eastern Cascade Slopes and Foothills, Siskiyou Mountains"
"Eriogonum hookeri","native",0,"Dicotyledons","Polygonaceae",,"Owyhee Uplands"
"Eriogonum luteolum var. luteolum","native",0,"Dicotyledons","Polygonaceae",,"Siskiyou Mountains"
"Eriogonum maculatum","native",0,"Dicotyledons","Polygonaceae",,"Basin and Range, Owyhee Uplands"
"Eriogonum microtheca var. ambiguum","native",0,"Dicotyledons","Polygonaceae",,"Basin and Range, Blue and Wallowa Mountains, Owyhee Uplands"
"Eriogonum nudum var. paralinum","native",0,"Dicotyledons","Polygonaceae",,"Estuarine Coast"
"Eriogonum nutans var. nutans","native",0,"Dicotyledons","Polygonaceae",,"Basin and Range"
"Eriogonum prociduum","native",3,"Dicotyledons","Polygonaceae","Eriogonum prociduum var. prociduum","Basin and Range, Eastern Cascade Slopes and Foothills"
"Eriogonum pyrolifolium var. pyrolifolium","native",0,"Dicotyledons","Polygonaceae",,"Cascades"
"Eriogonum roseum","native",0,"Dicotyledons","Polygonaceae","Eriogonum virgatum","Siskiyou Mountains"
"Eriogonum salicornioides","native",0,"Dicotyledons","Polygonaceae",,"Owyhee Uplands"
"Eriogonum scopulorum","native",0,"Dicotyledons","Polygonaceae",,"Blue and Wallowa Mountains"
"Eriogonum umbellatum var. aureum","native",0,"Dicotyledons","Polygonaceae","Eriogonum umbellatum var. intectum","Eastern Cascade Slopes and Foothills, Owyhee Uplands"
"Eriogonum umbellatum var. devestivum","native",0,"Dicotyledons","Polygonaceae",,"Blue and Wallowa Mountains"
"Eriogonum umbellatum var. glaberrimum","native",0,"Dicotyledons","Polygonaceae",,"Eastern Cascade Slopes and Foothills"
"Eriogonum umbellatum var. nelsoniorum","native",0,"Dicotyledons","Polygonaceae",,"Siskiyou Mountains"
"Iris tenuissima","not naturalized",0,"Monocotyledons","Iridaceae","Iris tenuissima ssp. tenuissima",
"Isoetes bolanderi","native",1,"Pteridophytes","Isoetaceae",,"Basin and Range, Blue and Wallowa Mountains, Cascades, Coast Range"
"Isoetes orcuttii","native",1,"Pteridophytes","Isoetaceae",,"Siskiyou Mountains"
"Isoetes tenella","native",1,"Pteridophytes","Isoetaceae","Isoetes echinospora","Blue and Wallowa Mountains, Cascades, Estuarine Coast, Siskiyou Mountains"
"Isolepis setacea","naturalized",0,"Monocotyledons","Cyperaceae","Scirpus setaceus","Cascades, Coast Range, Estuarine Coast, Siskiyou Mountains"
"Jacobaea maritima","not naturalized",0,"Dicotyledons","Asteraceae","Senecio cineraria","Willamette Valley"
"Juglans regia","not naturalized",1,"Dicotyledons","Juglandaceae",,"Siskiyou Mountains, Willamette Valley"
"Juncus anthelatus","naturalized",3,"Monocotyledons","Juncaceae",,"Willamette Valley"
"Juncus bryoides","native",0,"Monocotyledons","Juncaceae",,"Basin and Range"
"Juncus bufonius var. congestus","not naturalized",0,"Monocotyledons","Juncaceae",,"Basin and Range, Eastern Cascade Slopes and Foothills, Estuarine Coast"
"Juncus bufonius var. occidentalis","native",1,"Monocotyledons","Juncaceae",,"Basin and Range, Blue and Wallowa Mountains, Cascades, Owyhee Uplands"
"Juncus bulbosus","not naturalized",1,"Monocotyledons","Juncaceae","Juncus supinus","Estuarine Coast"
"Juncus canadensis","naturalized",0,"Monocotyledons","Juncaceae",,"Estuarine Coast"
"Juncus capillaris","native",0,"Monocotyledons","Juncaceae",,"Basin and Range"
"Juncus capitatus","not naturalized",0,"Monocotyledons","Juncaceae",,"Estuarine Coast"
"Juncus compressus","not naturalized",0,"Monocotyledons","Juncaceae",,"Columbia Basin, Willamette Valley"
"Juncus confusus","native",0,"Monocotyledons","Juncaceae",,"Basin and Range, Blue and Wallowa Mountains, Eastern Cascade Slopes and Foothills, Owyhee Uplands, Siskiyou Mountains"
"Juncus conglomeratus","not naturalized",0,"Monocotyledons","Juncaceae","Juncus effusus var. conglomeratus","Willamette Valley"
"Juncus diffusissimus","naturalized",0,"Monocotyledons","Juncaceae",,"Estuarine Coast"
"Juncus effusus ssp. solutus","naturalized",0,"Monocotyledons","Juncaceae",,"Cascades, Willamette Valley"
"Juncus exiguus","native",0,"Monocotyledons","Juncaceae","Juncus effusus var. exiguus","Cascades, Coast Range, Siskiyou Mountains"
"Juncus gerardi ssp. gerardi","naturalized",1,"Monocotyledons","Juncaceae","Juncus gerardi var. pedicellatus","Estuarine Coast"
"Juncus hemiendytus var. hemiendytus","native",4,"Monocotyledons","Juncaceae",,"Basin and Range, Blue and Wallowa Mountains, Cascades, Eastern Cascade Slopes and Foothills, Owyhee Uplands, Siskiyou Mountains, Willamette Valley"
"Juncus hesperius","native",2,"Monocotyledons","Juncaceae","Juncus effusus var. bruneus","Coast Range, Estuarine Coast, Willamette Valley"
"× Aegilotriticum sancti-andreae","not naturalized",0,"Monocotyledons","Poaceae","Aegilops cylindrica × Triticum aestivum","Blue and Wallowa Mountains, Columbia Basin"
"× Agropogon lutosus","not naturalized",0,"Monocotyledons","Poaceae","× Agropogon littoralis","Blue and Wallowa Mountains"
"× Amelasorbus jackii","not naturalized",0,"Dicotyledons","Rosaceae",,"Blue and Wallowa Mountains"
"× Elyhordeum macounii","native",0,"Monocotyledons","Poaceae","× Agrohordeum macounii","Basin and Range, Blue and Wallowa Mountains, Eastern Cascade Slopes and Foothills, Siskiyou Mountains"
"× Elyhordeum stebbinsianum","native",0,"Monocotyledons","Poaceae","Elymus glaucus × Hordeum brachyantherum","Basin and Range, Blue and Wallowa Mountains, Cascades, Eastern Cascade Slopes and Foothills, Estuarine Coast, Lava Plains, Willamette Valley"
"× Elyleymus aristatus","native",0,"Monocotyledons","Poaceae","× Elysitanion aristatum","Basin and Range, Eastern Cascade Slopes and Foothills, Lava Plains"
"× Pseudelymus saxicola","native",0,"Monocotyledons","Poaceae","× Agrositanion saxicola","Basin and Range, Blue and Wallowa Mountains, Eastern Cascade Slopes and Foothills, Lava Plains, Owyhee Uplands"
"× Schedololium holmbergii","not naturalized",0,"Monocotyledons","Poaceae",,"Willamette Valley"
"Abdra brachycarpa","naturalized",0,"Dicotyledons","Brassicaceae","Draba brachycarpa","Willamette Valley"
"Abies amabilis","native",2,"Gymnosperms","Pinaceae",,"Cascades, Coast Range, Eastern Cascade Slopes and Foothills, Willamette Valley"
