FloraStatus,Group,Family,taxon,Acronym,ClChange Justification,Origin,ExoticStatus
Not Noted,Dicotyledons,Aizoaceae,Carpobrotus edulis,CAREDU,"coll. by Wendell Wood, 2014 and P. Zika, 2008; s. OR beach; Zika's collection was spreading from cultivation; Wood's collection was in a 54 by 23 ft. patch.",exotic,recent waif
Not Noted,Dicotyledons,Aizoaceae,Delosperma cooperi,DELCOO,"waif in flower photographed by F. Callahan, Nesika Beach, Curry Co., 2010; vouchers are accessioned.",exotic,recent waif
Genus Note,Dicotyledons,Amaranthaceae,Chenopodium polyspermum var. acutifolium,CHEPOLACU,"recognized in FNA as the only var. on the West Coast; one collection mapped in FNA, vicinity Portland; to now, this taxon has been recognized as full species, C. polyspermum.",exotic,ballast
Genus Note,Dicotyledons,Amaranthaceae,Amaranthus viridus,AMAVIR,"two Suksdorf colls. from Albina; IDs verified by David Giblin, 2008.",exotic,historic waif
Not Noted,Dicotyledons,Amaranthaceae,Salsola kali ssp. pontica,SALKALPON,,exotic,ballast
Genus Note,Dicotyledons,Amaranthaceae,Dysphania multifida,DYSMUL,"Dysphania is a segregate of Chenopodium, recognized in FN4; this concept was previously recognized by OFP as Chenopodium multifidum.",exotic,historic waif
Genus Note,Dicotyledons,Amaranthaceae,Atriplex hymenelytra,ATRHYM,"known from a single collection at SOC (#16647; M.K. Small #722, Harney Co., 2 June 1950).",exotic,historic waif
Genus Note,Dicotyledons,Amaranthaceae,Chenopodium subglabrum,CHESUB,"determined by H. Chambers in 2004, we have a collection, OSC #3592, Benton Co., E.R. Lake, 7/20/1888; this is native elsewhere in the west; one coll. at WTU, WTU #331898, Clark Co., WA, 1995).",exotic?,recent waif
Genus Note,Dicotyledons,Amaranthaceae,Chenopodium strictum var. glaucophyllum,CHESTRGLA,,exotic,historic waif
Genus Note,Dicotyledons,Amaranthaceae,Amaranthus deflexus,AMADEF,,exotic,escaping in cultivated area
Family Note,Dicotyledons,Amaranthaceae,Beta vulgaris,BETVUL,,exotic,historic waif
Genus Note,Dicotyledons,Amaranthaceae,Chenopodium vulvaria,CHEVUL,"H. Chambers 2000 annotation; also this taxon was an exact match for an accepted name in PLANTS, where it is stated to occur in Oregon as an introduced plant to the U.S.",exotic,historic waif
Genus Note,Dicotyledons,Amaranthaceae,Chenopodium capitatum var. capitatum,CHECAPCAP,,exotic,historic waif
Genus Note,Dicotyledons,Amaranthaceae,Chenopodium incanum var. occidentale,CHEINCOCC,see OSC242643 (Otting #3076) where occurring in Malheur Co.; no information describing population/occurrence.,exotic,recent waif
Not Noted,Dicotyledons,Amaranthaceae,Chenopodium incognitum,CHEINC2,recent waif,exotic,recent waif
