title,url,SciName,tid,profilelink
Rare Plant Fact Sheet,/pages/content/limpumpum.pdf,Limnanthes pumila ssp. pumila,11255,https://oregonflora.org/taxa/index.php?taxon=11255
Rare Plant Fact Sheet,/pages/content/lombra.pdf,Lomatium bradshawii,6182,https://oregonflora.org/taxa/index.php?taxon=6182
Rare Plant Fact Sheet,/pages/content/lomcoo.pdf,Lomatium cookii,6188,https://oregonflora.org/taxa/index.php?taxon=6188
Rare Plant Fact Sheet,/pages/content/lomoch.pdf,Lomatium ochocense,6218,https://oregonflora.org/taxa/index.php?taxon=6218
Rare Plant Fact Sheet,/pages/content/lupore.pdf,Lupinus oreganus,6344,https://oregonflora.org/taxa/index.php?taxon=6344
Rare Plant Fact Sheet,/pages/content/lycinu.pdf,Lycopodiella inundata,6392,https://oregonflora.org/taxa/index.php?taxon=6392
Rare Plant Fact Sheet,/pages/content/menmol.pdf,Mentzelia mollis,6534,https://oregonflora.org/taxa/index.php?taxon=6534
Rare Plant Fact Sheet,/pages/content/mirmac.pdf,Mirabilis macfarlanei,6660,https://oregonflora.org/taxa/index.php?taxon=6660
Rare Plant Fact Sheet,/pages/content/ophpus.pdf,Ophioglossum pusillum,6881,https://oregonflora.org/taxa/index.php?taxon=6881
Rare Plant Fact Sheet,/pages/content/pacfle.pdf,Packera flettii,6974,https://oregonflora.org/taxa/index.php?taxon=6974
Rare Plant Fact Sheet,/pages/content/penbar.pdf,Penstemon barrettiae,7052,https://oregonflora.org/taxa/index.php?taxon=7052
Rare Plant Fact Sheet,/pages/content/phaarg.pdf,Phacelia argentea,7152,https://oregonflora.org/taxa/index.php?taxon=7152
Rare Plant Fact Sheet,/pages/content/plahir2.pdf,Plagiobothrys hirtus,7341,https://oregonflora.org/taxa/index.php?taxon=7341
Rare Plant Fact Sheet,/pages/content/pleore.pdf,Pleuropogon oregonus,7404,https://oregonflora.org/taxa/index.php?taxon=7404
Rare Plant Fact Sheet,/pages/content/pyrracrac.pdf,Pyrrocoma racemosa var. racemosa,14309,https://oregonflora.org/taxa/index.php?taxon=14309
Rare Plant Fact Sheet,/pages/content/rantri.pdf,Ranunculus triternatus,7827,https://oregonflora.org/taxa/index.php?taxon=7827
Rare Plant Fact Sheet,/pages/content/romtho.pdf,Romanzoffia thompsonii,7905,https://oregonflora.org/taxa/index.php?taxon=7905
Rare Plant Fact Sheet,/pages/content/rotram.pdf,Rotala ramosior,7943,https://oregonflora.org/taxa/index.php?taxon=7943
Rare Plant Fact Sheet,/pages/content/rubbar.pdf,Rubus bartonianus,7947,https://oregonflora.org/taxa/index.php?taxon=7947
Rare Plant Fact Sheet,/pages/content/schsub.pdf,Schoenoplectus subterminalis,8216,https://oregonflora.org/taxa/index.php?taxon=8216
Rare Plant Fact Sheet,/pages/content/scipen.pdf,Scirpus pendulus,8249,https://oregonflora.org/taxa/index.php?taxon=8249
Rare Plant Fact Sheet,/pages/content/sedmor.pdf,Sedum moranii,8305,https://oregonflora.org/taxa/index.php?taxon=8305
Rare Plant Fact Sheet,/pages/content/serrig.pdf,Sericocarpus rigidus,8360,https://oregonflora.org/taxa/index.php?taxon=8360
Rare Plant Fact Sheet,/pages/content/sidhir.pdf,Sidalcea hirtipes,8383,https://oregonflora.org/taxa/index.php?taxon=8383
Rare Plant Fact Sheet,/pages/content/sidnel.pdf,Sidalcea nelsoniana,8388,https://oregonflora.org/taxa/index.php?taxon=8388
Rare Plant Fact Sheet,/pages/content/sildouora.pdf,Silene douglasii var. oraria,14678,https://oregonflora.org/taxa/index.php?taxon=14678
Rare Plant Fact Sheet,/pages/content/sishit.pdf,Sisyrinchium hitchcockii,8450,https://oregonflora.org/taxa/index.php?taxon=8450
Rare Plant Fact Sheet,/pages/content/soplea.pdf,Sophora leachiana,8515,https://oregonflora.org/taxa/index.php?taxon=8515
Rare Plant Fact Sheet,/pages/content/abrumbbre.pdf,Abronia umbellata ssp. breviflora,10568,https://oregonflora.org/taxa/index.php?taxon=10568
Rare Plant Fact Sheet,/pages/content/achwal.pdf,Eriocoma wallowaensis,1000018,https://oregonflora.org/taxa/index.php?taxon=1000018
Rare Plant Fact Sheet,/pages/content/agrhow.pdf,Agrostis howellii,2545,https://oregonflora.org/taxa/index.php?taxon=2545
Rare Plant Fact Sheet,/pages/content/amscar.pdf,Amsinckia carinata,2723,https://oregonflora.org/taxa/index.php?taxon=2723
